,covariates,CB_DQCT,CB_NQNC,CB_SQCT,DQCA,DQCA_RR10,DQCA_RR10_noqkprep,DQCT,NQNC,SQCA,SQCT
1,aa,0.581641246812337,0.577629479022512,0.58675684413886,0.560904038505636,0.560007024204076,0.554907748647018,0.581055736898882,0.559974414368415,0.549002679054037,0.559919867997454
2,log_exp,0.475212790582339,0.503540669790821,0.500903174566095,0.513897056436889,0.536254312024399,0.551429166872992,0.599659655614505,0.592907850351306,0.519661851659698,0.600044224945759
3,log_exp+aa,0.654718377125067,0.669022887442434,0.663172304360028,0.682418730822253,0.636241117484545,0.634378502282608,0.688766524042871,0.692864773819147,0.6822692928061,0.706717399436117
4,log_exp+any_fpocket,0.696902537588764,0.707822527311268,0.706743736988709,0.693724524883128,0.696794707671701,0.696794707671701,0.694475365581825,0.696272832031617,0.694691987103521,0.700575359960081
5,log_exp+any_fpocket+aa,0.726073402779262,0.721575671407747,0.727532222949588,0.745361039267726,0.724392117619997,0.725171904747595,0.739641837718581,0.737466941939606,0.749205862478769,0.739559264435438
6,log_exp+any_sitefinder,0.66926523655077,0.700107432501185,0.691438486855011,0.67316221445339,0.6486940162976,0.650299057754017,0.67937083374649,0.692616435878074,0.661952280221096,0.684791340571153
7,log_exp+any_sitefinder+aa,0.696528360188725,0.700241635023502,0.698537400034122,0.719818921107328,0.697802197494959,0.698191207679526,0.725412224327159,0.734605130318511,0.720224678683142,0.733647556744124
8,log_exp+pKa,0.617521914693292,0.64191917520746,0.63391633917173,0.54790493789855,0.557467855174844,0.561500795764647,0.604869769003633,0.639293010753805,0.576945393674609,0.63628197025441
9,log_exp+pka+st_scales,0.66136317040951,0.671939624427614,0.671974870696374,0.617071753847555,0.585404635333917,0.582363503912316,0.646763526755373,0.662438138869492,0.62899323493543,0.677116312494642
10,log_exp+pka+t_scales,0.657056655045178,0.675402333655718,0.673337013406068,0.611466004703729,0.593087193748004,0.578424740620999,0.637212630274679,0.659716557358403,0.630490586610861,0.658920626900455
11,log_exp+plb0_sitefinder,0.667632129873406,0.675183871772336,0.668797347076054,0.612653754997428,0.611118792878318,0.61316656408581,0.663661802474253,0.653409571511644,0.602688692558263,0.66326052588677
12,log_exp+plb0_sitefinder+aa,0.694638939142142,0.708626713885947,0.699810692290456,0.700050790702745,0.67724451804189,0.692345511079587,0.696836267029437,0.705459680531832,0.69165095061025,0.702457295582604
13,log_exp+plb1_sitefinder,0.584973343204898,0.603030309837973,0.598523279688109,0.634386068078282,0.629307053606992,0.6218003829779,0.626278911247878,0.642759955701208,0.608789241328745,0.642511743944605
14,log_exp+plb1_sitefinder+aa,0.689826463992774,0.690273287687639,0.695342280364043,0.694216157192439,0.635244120964616,0.635011029308179,0.66230504336741,0.698506862677298,0.673449235126674,0.712353195515226
15,log_exp+st_scales,0.651462790685542,0.672597611767131,0.669468429747072,0.603923172566448,0.59725417120185,0.590043597488456,0.640770955801211,0.68348467970701,0.621230321110097,0.670780484483632
16,log_exp+t_scales,0.664024194685034,0.684711062324327,0.682518118741594,0.632510969816381,0.613729690704911,0.603586074463199,0.645849947790701,0.665629511068463,0.642655102503854,0.668360843579311
17,log_exp+top5_fpocket,0.485571957171391,0.531274346100888,0.532109299357449,0.540311620572486,0.563465435216095,0.56348363320785,0.623901092501402,0.626412205558247,0.55865349766508,0.632147723576672
18,log_exp+top5_fpocket+aa,0.677119554615952,0.690378436919611,0.685069729110144,0.686460729227989,0.650659747781686,0.651693921288515,0.703220053339085,0.704391359170606,0.697849876054064,0.711318355966681
19,pKa,0.472997444225208,0.476813656411193,0.482566360894038,0.426331720118807,0.377358980074603,0.378423970458581,0.402744136312163,0.41793428388993,0.425064954740343,0.418809663279386
20,st_scales,0.505546484274507,0.47729963913992,0.475904849499821,0.495953449406493,0.470879332433503,0.458143599594876,0.509501125640308,0.475655457664244,0.462392120481976,0.461923855016982
21,t_scales,0.533197507480247,0.52441507741963,0.533365411702981,0.527174417242011,0.524266793425555,0.518433964665564,0.520224046056538,0.521310121804404,0.528470355239256,0.534484658819283
